,customer_id,transaction_count,most_recent_transaction_day,sum_profit,age,gender,wealth_segment,state,job_title,job_industry_category,owns_car,past_3_years_bike_related_purchases,tenure,property_valuation,label,job_cluster
3911,3093,9,2222,2964.6199999999994,31.0,Male,High Net Worth,VIC,Mechanical Systems Engineer,Property,True,31.0,6.0,9.0,2,9.0
3920,320,10,2166,7204.66,26.0,Male,Mass Customer,QLD,Registered Nurse,Health,False,19.0,4.0,2.0,3,10.0
3930,1910,3,2171,907.45,64.0,Female,High Net Worth,NSW,Systems Administrator I,Property,True,20.0,14.0,2.0,1,20.0
3933,99,9,2156,4557.65,25.0,Male,Mass Customer,NSW,VP Accounting,Financial Services,False,97.0,3.0,9.0,3,7.0
3942,1102,8,2175,5025.4400000000005,47.0,Female,Affluent Customer,NSW,Recruiting Manager,Manufacturing,False,16.0,15.0,3.0,3,8.0
3950,1184,6,2159,4314.89,55.0,Female,Mass Customer,NSW,Social Worker,Health,False,89.0,13.0,9.0,2,0.0
3956,2032,2,2159,978.76,40.0,Male,Mass Customer,NSW,Quality Control Specialist,Property,True,98.0,9.0,8.0,1,5.0
3958,2349,5,2208,2500.26,44.0,Female,High Net Worth,NSW,Executive Secretary,Telecommunications,False,23.0,3.0,1.0,1,28.0
3963,135,7,2269,4549.5,48.0,Female,Mass Customer,VIC,Internal Auditor,IT,False,18.0,3.0,6.0,2,0.0
3970,2438,7,2181,3058.73,40.0,Female,Mass Customer,NSW,Speech Pathologist,Manufacturing,True,76.0,4.0,7.0,2,0.0
3977,160,2,2247,2614.1600000000003,59.0,Male,Mass Customer,NSW,Registered Nurse,Health,False,5.0,18.0,11.0,1,10.0
3979,934,7,2154,4689.759999999999,27.0,Male,Mass Customer,NSW,Human Resources Manager,Manufacturing,False,76.0,6.0,12.0,2,25.0
3986,667,5,2173,3802.78,29.0,Female,High Net Worth,NSW,Payment Adjustment Coordinator,Manufacturing,True,62.0,3.0,12.0,2,18.0
3991,2100,5,2172,2399.56,45.0,Male,Mass Customer,VIC,Marketing Assistant,IT,False,34.0,14.0,9.0,1,12.0
3996,1607,5,2155,1681.02,35.0,Female,Mass Customer,VIC,Marketing Assistant,Retail,True,39.0,15.0,5.0,1,12.0
4001,2813,4,2358,2395.4300000000003,70.0,Female,Mass Customer,NSW,Chemical Engineer,Manufacturing,True,51.0,11.0,9.0,0,2.0
4005,917,8,2189,5392.89,59.0,Male,Mass Customer,VIC,VP Product Management,Financial Services,False,63.0,19.0,9.0,3,17.0
4013,2759,5,2264,3775.9,22.0,Female,Affluent Customer,VIC,Operator,Health,True,16.0,1.0,3.0,2,15.0
4018,1107,5,2202,1843.57,49.0,Female,High Net Worth,NSW,Social Worker,Health,False,70.0,18.0,9.0,1,0.0
4023,686,5,2191,2073.8100000000004,69.0,Female,High Net Worth,NSW,GIS Technical Architect,Argiculture,True,60.0,5.0,9.0,1,0.0
4028,504,8,2290,2714.7599999999998,28.0,Male,High Net Worth,VIC,Environmental Tech,Manufacturing,True,93.0,7.0,7.0,2,3.0
4036,976,6,2324,3830.6800000000003,52.0,Male,Affluent Customer,VIC,Graphic Designer,Financial Services,False,10.0,10.0,8.0,0,11.0
4042,564,6,2165,2143.39,40.0,Female,High Net Worth,NSW,Operator,Retail,False,7.0,7.0,9.0,2,15.0
4048,235,11,2156,4685.82,46.0,Female,Mass Customer,NSW,Social Worker,Health,False,30.0,15.0,8.0,3,0.0
4059,3020,11,2176,2638.1,57.0,Male,High Net Worth,QLD,Chemical Engineer,Manufacturing,True,13.0,10.0,1.0,3,2.0
4070,2215,2,2173,327.23,52.0,Female,Mass Customer,VIC,Structural Engineer,Financial Services,True,50.0,18.0,6.0,1,2.0
4072,1832,8,2238,5739.57,59.0,Female,Mass Customer,QLD,Programmer Analyst III,Manufacturing,True,53.0,12.0,3.0,3,24.0
4080,1882,6,2282,4054.8500000000004,59.0,Male,Affluent Customer,NSW,Account Executive,Manufacturing,False,86.0,10.0,9.0,2,28.0
4086,794,7,2176,4248.67,68.0,Male,Affluent Customer,NSW,Compensation Analyst,Financial Services,True,99.0,16.0,3.0,2,9.0
4093,931,5,2224,2890.0600000000004,24.0,Female,Affluent Customer,VIC,Design Engineer,Manufacturing,True,59.0,1.0,8.0,2,16.0
4098,2174,5,2235,2884.7200000000003,61.0,Male,High Net Worth,VIC,Account Executive,Argiculture,False,32.0,11.0,6.0,2,28.0
4103,2650,6,2179,2394.8200000000006,28.0,Female,Affluent Customer,QLD,Business Systems Development Analyst,IT,True,33.0,10.0,8.0,2,9.0
4109,2359,8,2236,2688.57,37.0,Female,High Net Worth,QLD,Mechanical Systems Engineer,Property,True,80.0,7.0,3.0,2,9.0
4117,2848,4,2167,3121.17,56.0,Female,Mass Customer,VIC,Analyst Programmer,Property,True,42.0,13.0,12.0,1,24.0
4121,1470,7,2155,3512.7200000000003,27.0,Male,High Net Worth,NSW,Senior Cost Accountant,Financial Services,True,62.0,8.0,8.0,2,1.0
4128,2911,2,2437,687.5100000000001,55.0,Female,Mass Customer,VIC,Assistant Media Planner,Entertainment,False,55.0,11.0,10.0,0,0.0
4130,718,8,2188,2164.08,45.0,Female,Mass Customer,QLD,Engineer I,Manufacturing,True,38.0,7.0,11.0,2,2.0
4138,2711,6,2217,2814.87,53.0,Male,Affluent Customer,NSW,Biostatistician II,Health,False,52.0,6.0,11.0,2,37.0
4144,2678,5,2267,2932.34,46.0,Male,Mass Customer,VIC,Sales Associate,Health,False,33.0,11.0,11.0,2,40.0
4149,2513,7,2260,3831.16,45.0,Male,Mass Customer,NSW,Structural Analysis Engineer,Property,False,55.0,12.0,12.0,2,2.0
4156,3247,8,2198,3802.55,38.0,Female,Mass Customer,VIC,Structural Engineer,Manufacturing,True,0.0,5.0,5.0,2,2.0
4164,2629,6,2198,5174.88,47.0,Female,High Net Worth,NSW,Engineer IV,Entertainment,False,60.0,19.0,9.0,2,2.0
4170,3463,4,2211,993.9200000000001,39.0,Male,Affluent Customer,NSW,Compensation Analyst,Financial Services,False,7.0,2.0,11.0,1,9.0
4174,3034,5,2202,2661.2799999999997,67.0,Female,Mass Customer,VIC,Web Designer IV,Manufacturing,True,54.0,18.0,6.0,1,11.0
4179,355,5,2199,2662.75,44.0,Female,Mass Customer,NSW,Database Administrator II,Retail,True,97.0,3.0,8.0,1,32.0
4184,3115,5,2349,4020.91,42.0,Male,Mass Customer,VIC,Nuclear Power Engineer,Manufacturing,False,40.0,8.0,7.0,0,2.0
4189,1382,2,2276,1946.8899999999999,34.0,Male,High Net Worth,VIC,Data Coordiator,Manufacturing,True,27.0,20.0,8.0,0,0.0
4191,354,6,2221,3101.72,42.0,Female,Mass Customer,NSW,Legal Assistant,Property,False,87.0,9.0,5.0,2,0.0
4197,469,10,2255,4177.21,27.0,Male,High Net Worth,NSW,Actuary,Financial Services,True,91.0,3.0,12.0,3,0.0
4207,1573,4,2218,2236.76,29.0,Female,Mass Customer,NSW,Web Designer I,Property,True,48.0,4.0,12.0,1,11.0
4211,1421,6,2211,2529.62,67.0,Female,Mass Customer,NSW,Senior Editor,Property,False,74.0,20.0,10.0,2,34.0
4217,1726,6,2271,4476.97,50.0,Female,High Net Worth,NSW,Junior Executive,Financial Services,False,41.0,11.0,10.0,2,28.0
4223,990,7,2165,2353.4900000000002,47.0,Female,Mass Customer,NSW,Administrative Officer,Manufacturing,True,56.0,14.0,7.0,2,19.0
4230,2796,7,2162,3816.43,46.0,Female,Mass Customer,NSW,Web Designer II,Manufacturing,False,52.0,9.0,2.0,2,11.0
4237,1508,5,2215,3479.0099999999998,37.0,Male,Affluent Customer,NSW,Clinical Specialist,Health,True,80.0,11.0,10.0,2,3.0
4242,1634,4,2183,1537.06,53.0,Female,Affluent Customer,NSW,Director of Sales,Manufacturing,False,20.0,12.0,11.0,1,7.0
4246,1275,6,2303,1540.0799999999997,57.0,Female,Mass Customer,QLD,General Manager,Health,True,70.0,8.0,2.0,0,8.0
4252,1729,6,2212,3005.33,36.0,Female,High Net Worth,NSW,Mechanical Systems Engineer,Argiculture,False,37.0,7.0,10.0,2,9.0
4258,166,7,2217,4063.66,68.0,Male,Affluent Customer,QLD,Structural Analysis Engineer,Manufacturing,False,54.0,6.0,4.0,2,2.0
4265,1930,5,2175,2428.87,27.0,Male,High Net Worth,VIC,Speech Pathologist,Manufacturing,False,27.0,3.0,1.0,1,0.0
4270,1273,3,2177,1551.7500000000002,49.0,Male,Affluent Customer,QLD,General Manager,Financial Services,True,48.0,14.0,2.0,1,8.0
4273,2597,6,2159,4017.66,43.0,Female,High Net Worth,QLD,Civil Engineer,Manufacturing,True,58.0,11.0,10.0,2,2.0
4279,586,3,2244,2562.4700000000003,24.0,Female,Mass Customer,NSW,Chief Design Engineer,Manufacturing,False,63.0,4.0,9.0,1,16.0
4282,230,11,2190,5319.63,69.0,Female,High Net Worth,NSW,Internal Auditor,Property,False,74.0,11.0,11.0,3,0.0
4293,1658,4,2434,1469.9599999999998,29.0,Female,Mass Customer,NSW,Sales Representative,Retail,True,17.0,5.0,7.0,0,7.0
4297,3268,6,2286,4250.46,37.0,Female,Mass Customer,VIC,General Manager,Manufacturing,False,93.0,20.0,5.0,2,8.0
4303,1456,4,2162,874.93,58.0,Male,Mass Customer,NSW,Health Coach II,Property,True,97.0,6.0,4.0,1,27.0
4307,2786,6,2157,2718.29,55.0,Male,Mass Customer,QLD,Accountant III,Health,True,94.0,11.0,9.0,2,1.0
4313,1932,8,2243,4328.469999999999,46.0,Female,Affluent Customer,VIC,Librarian,Entertainment,True,98.0,3.0,7.0,2,0.0
4321,1269,3,2365,935.0600000000001,33.0,Male,High Net Worth,QLD,Account Coordinator,Property,True,56.0,7.0,6.0,0,18.0
4324,2735,2,2302,836.04,65.0,Male,High Net Worth,QLD,Associate Professor,Financial Services,True,18.0,14.0,5.0,0,26.0
4326,1288,4,2176,1524.5800000000002,44.0,Female,Affluent Customer,QLD,Desktop Support Technician,Financial Services,True,51.0,18.0,7.0,1,0.0
4330,3146,8,2208,6856.09,45.0,Female,Mass Customer,NSW,Project Manager,Property,False,79.0,15.0,5.0,3,8.0
4338,2092,5,2170,3651.0300000000007,45.0,Male,High Net Worth,VIC,Safety Technician IV,Manufacturing,False,14.0,18.0,7.0,2,31.0
4343,3211,3,2189,2302.94,30.0,Female,High Net Worth,VIC,Automation Specialist II,Health,True,52.0,7.0,8.0,1,36.0
4346,3084,6,2169,3082.9000000000005,64.0,Female,Affluent Customer,QLD,Staff Scientist,Financial Services,True,57.0,16.0,4.0,2,14.0
4352,2772,5,2179,2446.21,69.0,Male,Affluent Customer,NSW,Quality Engineer,Property,True,15.0,13.0,9.0,1,5.0
4357,1114,4,2218,1774.12,47.0,Female,Mass Customer,QLD,Structural Engineer,Retail,False,96.0,14.0,7.0,1,2.0
4361,970,5,2187,2840.8100000000004,43.0,Female,High Net Worth,NSW,VP Accounting,Financial Services,True,2.0,14.0,10.0,1,7.0
4366,127,10,2177,3993.71,48.0,Female,Mass Customer,QLD,Compensation Analyst,Financial Services,False,81.0,19.0,1.0,3,9.0
4376,631,6,2170,1767.3899999999999,57.0,Female,Affluent Customer,VIC,Computer Systems Analyst I,Health,False,33.0,17.0,8.0,1,35.0
4382,3001,4,2258,3378.5699999999997,46.0,Male,Mass Customer,NSW,Engineer IV,Argiculture,False,48.0,20.0,10.0,1,2.0
4386,1237,10,2177,5731.25,53.0,Female,High Net Worth,VIC,Research Nurse,Health,False,6.0,16.0,4.0,3,10.0
4396,2883,7,2203,5553.21,28.0,Male,Mass Customer,NSW,Paralegal,Financial Services,True,84.0,2.0,8.0,3,0.0
4403,2385,8,2185,4797.13,64.0,Male,Mass Customer,VIC,Dental Hygienist,Health,False,70.0,8.0,7.0,3,0.0
4411,2667,5,2252,2515.43,65.0,Female,Affluent Customer,VIC,Product Engineer,Manufacturing,True,65.0,6.0,10.0,1,17.0
4416,1676,5,2241,4291.110000000001,48.0,Male,Mass Customer,NSW,Information Systems Manager,Health,False,63.0,13.0,8.0,2,9.0
4421,3045,5,2219,4393.86,27.0,Male,Affluent Customer,QLD,Cost Accountant,Financial Services,True,52.0,2.0,1.0,2,1.0
4426,2356,4,2300,2674.92,28.0,Female,Affluent Customer,QLD,Geological Engineer,Manufacturing,False,58.0,3.0,7.0,0,2.0
4430,1406,6,2182,2396.6999999999994,53.0,Male,High Net Worth,VIC,Cost Accountant,Financial Services,True,3.0,17.0,6.0,2,1.0
4436,3360,8,2211,4179.51,60.0,Female,Affluent Customer,NSW,Quality Engineer,Health,False,77.0,5.0,10.0,2,5.0
4444,2099,7,2217,4576.76,64.0,Male,High Net Worth,NSW,Senior Cost Accountant,Financial Services,True,40.0,19.0,8.0,2,1.0
4451,2646,5,2273,2013.52,51.0,Female,Mass Customer,QLD,Sales Representative,Retail,True,14.0,17.0,1.0,0,7.0
4456,641,4,2356,2456.51,49.0,Male,Affluent Customer,VIC,Accounting Assistant I,Manufacturing,False,86.0,3.0,6.0,0,30.0
4460,1179,4,2161,5068.4400000000005,35.0,Male,High Net Worth,QLD,Media Manager IV,Financial Services,True,56.0,13.0,8.0,2,38.0
4464,1127,4,2290,2285.05,32.0,Female,Mass Customer,NSW,Physical Therapy Assistant,Financial Services,False,30.0,8.0,10.0,0,0.0
4468,1860,6,2165,4503.35,46.0,Female,Mass Customer,QLD,Nuclear Power Engineer,Manufacturing,True,4.0,17.0,6.0,2,2.0
4474,145,7,2182,3140.3,26.0,Male,Mass Customer,NSW,Account Executive,Financial Services,False,33.0,4.0,5.0,2,28.0
4481,2576,7,2232,2522.18,64.0,Female,Mass Customer,NSW,Associate Professor,Manufacturing,False,15.0,13.0,7.0,2,26.0
4488,3339,5,2192,1119.95,37.0,Male,Mass Customer,VIC,Programmer Analyst III,Health,False,76.0,21.0,3.0,1,24.0
4493,629,8,2218,2245.43,62.0,Male,High Net Worth,QLD,Chemical Engineer,Manufacturing,False,29.0,6.0,1.0,2,2.0
4501,198,9,2212,6631.87,41.0,Female,Mass Customer,VIC,Assistant Media Planner,Entertainment,False,82.0,16.0,7.0,3,0.0
4510,1951,8,2272,4514.84,23.0,Male,Mass Customer,VIC,Health Coach II,Manufacturing,True,93.0,2.0,6.0,2,27.0
4518,1944,5,2159,1345.75,43.0,Male,High Net Worth,VIC,Programmer III,Argiculture,True,73.0,8.0,8.0,1,24.0
4523,2583,4,2246,2652.07,60.0,Female,Mass Customer,NSW,Human Resources Assistant I,Property,False,34.0,15.0,8.0,1,25.0
4527,86,9,2154,2360.09,34.0,Male,High Net Worth,NSW,Occupational Therapist,Health,True,75.0,7.0,11.0,2,0.0
4536,72,4,2176,2559.7799999999997,51.0,Male,Affluent Customer,QLD,Administrative Officer,Manufacturing,True,93.0,16.0,6.0,1,19.0
4540,2386,7,2166,5453.860000000001,26.0,Female,Mass Customer,NSW,Compensation Analyst,Financial Services,False,93.0,2.0,9.0,3,9.0
4547,177,12,2191,4108.599999999999,34.0,Female,High Net Worth,NSW,Professor,Financial Services,False,25.0,4.0,5.0,3,26.0
4559,732,5,2218,3269.12,56.0,Female,Mass Customer,NSW,Actuary,Financial Services,False,71.0,5.0,11.0,2,0.0
4564,2719,3,2164,1101.08,35.0,Male,Affluent Customer,QLD,Teacher,Telecommunications,True,69.0,6.0,4.0,1,0.0
4567,343,9,2257,5193.5599999999995,66.0,Female,Affluent Customer,NSW,Recruiter,Property,False,76.0,13.0,11.0,3,0.0
4576,215,8,2157,3889.3900000000003,49.0,Female,High Net Worth,QLD,Assistant Professor,Retail,True,37.0,18.0,3.0,2,26.0
4584,2372,9,2154,3031.18,46.0,Male,Affluent Customer,VIC,Clinical Specialist,Health,False,14.0,10.0,12.0,2,3.0
4593,3465,10,2226,4946.67,45.0,Female,High Net Worth,NSW,Chemical Engineer,Manufacturing,True,71.0,7.0,12.0,3,2.0
4603,1669,6,2213,3361.1000000000004,45.0,Male,High Net Worth,NSW,VP Accounting,Financial Services,True,74.0,21.0,11.0,2,7.0
4609,2016,6,2222,2390.89,25.0,Female,Affluent Customer,NSW,Executive Secretary,Retail,True,89.0,1.0,11.0,2,28.0
4615,1519,11,2162,3819.53,21.0,Male,High Net Worth,NSW,Administrative Assistant IV,Telecommunications,True,35.0,1.0,8.0,3,19.0
4626,1482,12,2222,9269.16,44.0,Male,Mass Customer,NSW,Electrical Engineer,Manufacturing,False,29.0,12.0,8.0,3,2.0
4638,3294,4,2216,2826.8900000000003,37.0,Female,Affluent Customer,VIC,Director of Sales,Manufacturing,False,90.0,6.0,4.0,1,7.0
4642,1165,9,2164,3286.3500000000004,30.0,Female,High Net Worth,NSW,Administrative Assistant IV,Financial Services,False,58.0,2.0,1.0,2,19.0
4651,2152,9,2155,4281.08,55.0,Female,Mass Customer,VIC,Database Administrator III,Manufacturing,True,40.0,19.0,10.0,3,32.0
4660,1398,7,2190,5649.83,56.0,Female,Mass Customer,VIC,Project Manager,Manufacturing,False,11.0,17.0,6.0,3,8.0
4667,2478,6,2268,2231.5,57.0,Male,Affluent Customer,QLD,Senior Cost Accountant,Financial Services,True,85.0,10.0,6.0,2,1.0
4673,365,7,2204,4724.04,47.0,Female,High Net Worth,QLD,VP Quality Control,Property,False,98.0,15.0,5.0,2,5.0
4680,259,4,2181,2124.65,40.0,Female,High Net Worth,NSW,Senior Developer,Health,True,70.0,3.0,6.0,1,4.0
4684,346,9,2166,6420.7,42.0,Male,Mass Customer,NSW,Financial Analyst,Financial Services,False,68.0,3.0,10.0,3,13.0
4693,457,5,2269,3680.3399999999997,42.0,Female,High Net Worth,NSW,Recruiting Manager,Financial Services,True,70.0,17.0,9.0,2,8.0
4698,1120,5,2155,912.9400000000002,43.0,Female,Affluent Customer,NSW,Web Developer IV,Retail,False,87.0,12.0,9.0,1,4.0
4703,1812,9,2176,3980.04,64.0,Female,Affluent Customer,NSW,Clinical Specialist,Health,False,20.0,14.0,9.0,3,3.0
4712,503,3,2237,1280.6399999999999,34.0,Male,Affluent Customer,NSW,Dental Hygienist,Health,True,87.0,10.0,10.0,1,0.0
4715,803,6,2220,1746.5500000000002,24.0,Female,High Net Worth,QLD,Nuclear Power Engineer,Manufacturing,False,96.0,3.0,7.0,1,2.0
4721,2220,4,2239,2129.07,64.0,Male,Mass Customer,NSW,Legal Assistant,Financial Services,True,35.0,13.0,9.0,1,0.0
4725,1830,7,2167,4578.9,38.0,Male,High Net Worth,NSW,Software Consultant,Manufacturing,False,98.0,12.0,8.0,2,6.0
4732,1428,10,2169,5508.8,25.0,Female,High Net Worth,NSW,Sales Representative,Retail,False,93.0,1.0,8.0,3,7.0
4742,2222,6,2213,3821.2699999999995,49.0,Female,Mass Customer,NSW,Professor,Financial Services,False,20.0,14.0,6.0,2,26.0
4748,386,5,2220,2415.9700000000003,33.0,Female,Mass Customer,NSW,Senior Quality Engineer,Argiculture,False,63.0,5.0,8.0,1,5.0
4753,210,6,2176,2957.03,60.0,Male,Mass Customer,VIC,Assistant Manager,Property,False,50.0,18.0,9.0,2,8.0
4759,2679,6,2239,3337.8700000000003,33.0,Male,High Net Worth,NSW,Director of Sales,Financial Services,False,5.0,10.0,8.0,2,7.0
4765,1572,6,2236,7651.019999999999,66.0,Male,High Net Worth,NSW,Recruiting Manager,Financial Services,True,51.0,16.0,12.0,3,8.0
4771,911,5,2210,633.3499999999998,49.0,Male,Affluent Customer,NSW,Structural Analysis Engineer,Property,False,62.0,3.0,8.0,1,2.0
4776,2103,10,2168,6752.629999999999,48.0,Male,Affluent Customer,NSW,Business Systems Development Analyst,Financial Services,False,94.0,18.0,6.0,3,9.0
4786,3233,3,2234,781.4599999999998,64.0,Male,Mass Customer,VIC,Tax Accountant,Financial Services,True,7.0,17.0,7.0,1,1.0
4789,2472,6,2239,4181.0,34.0,Male,High Net Worth,VIC,Product Engineer,Health,True,99.0,16.0,7.0,2,17.0
4795,1759,6,2172,2828.17,54.0,Male,High Net Worth,NSW,Biostatistician IV,Financial Services,False,52.0,15.0,12.0,2,37.0
4801,2048,7,2211,5517.21,63.0,Female,High Net Worth,NSW,Financial Advisor,Financial Services,False,22.0,13.0,8.0,3,13.0
4808,3102,4,2260,2883.5099999999998,33.0,Male,Affluent Customer,NSW,Assistant Manager,Property,False,37.0,2.0,6.0,1,8.0
4812,2500,3,2177,766.4200000000001,65.0,Female,High Net Worth,QLD,Senior Developer,Property,True,35.0,17.0,6.0,1,4.0
4815,3491,4,2343,1430.28,47.0,Female,Affluent Customer,VIC,Business Systems Development Analyst,Financial Services,False,69.0,10.0,10.0,0,9.0
4819,2317,5,2207,2715.29,46.0,Male,Mass Customer,VIC,Tax Accountant,Health,True,97.0,16.0,9.0,1,1.0
4824,2290,5,2226,4225.77,42.0,Male,Mass Customer,VIC,Account Executive,Manufacturing,True,18.0,5.0,3.0,2,28.0
4829,2856,7,2160,5583.33,47.0,Female,Mass Customer,NSW,Marketing Manager,Financial Services,True,53.0,13.0,10.0,3,12.0
4836,1419,5,2176,972.7900000000002,56.0,Male,Mass Customer,NSW,Physical Therapy Assistant,Financial Services,True,5.0,4.0,9.0,1,0.0
4841,1931,3,2177,384.06999999999994,50.0,Male,Affluent Customer,QLD,Senior Developer,Health,False,85.0,6.0,5.0,1,4.0
4844,3375,8,2166,4285.9400000000005,30.0,Male,High Net Worth,NSW,Accounting Assistant I,Financial Services,True,37.0,6.0,10.0,2,30.0
4852,743,4,2243,3908.8,42.0,Male,Mass Customer,NSW,VP Accounting,Financial Services,True,89.0,13.0,10.0,2,7.0
4856,668,7,2160,4375.9800000000005,57.0,Female,Mass Customer,NSW,Junior Executive,Health,False,61.0,7.0,9.0,2,28.0
4863,604,6,2223,4661.959999999999,25.0,Female,Affluent Customer,NSW,Help Desk Operator,IT,False,72.0,3.0,8.0,2,15.0
4869,2008,7,2183,2365.36,30.0,Male,Mass Customer,QLD,Analyst Programmer,Financial Services,True,77.0,3.0,2.0,2,24.0
4876,1908,6,2261,3725.5699999999997,59.0,Female,High Net Worth,NSW,Help Desk Technician,Financial Services,True,2.0,6.0,8.0,2,15.0
4882,2435,5,2277,2656.6699999999996,62.0,Female,Mass Customer,QLD,Account Coordinator,Manufacturing,False,69.0,14.0,7.0,0,18.0
4887,1625,8,2163,8499.59,45.0,Male,Mass Customer,NSW,Information Systems Manager,Property,True,20.0,10.0,8.0,3,9.0
4895,3469,3,2192,320.1899999999999,36.0,Female,Mass Customer,QLD,Nurse Practicioner,Health,True,90.0,5.0,3.0,1,10.0
4898,3478,6,2183,4297.85,37.0,Male,Mass Customer,NSW,Quality Control Specialist,Health,False,54.0,17.0,1.0,2,5.0
4904,414,6,2201,2304.56,47.0,Male,High Net Worth,NSW,Social Worker,Health,False,12.0,10.0,8.0,2,0.0
4910,2380,6,2196,4015.95,67.0,Female,Mass Customer,NSW,Technical Writer,Retail,True,44.0,15.0,10.0,2,0.0
4916,643,4,2351,2308.04,40.0,Female,Mass Customer,VIC,Assistant Media Planner,Entertainment,True,48.0,10.0,4.0,0,0.0
4920,756,6,2179,2121.61,49.0,Female,Mass Customer,VIC,Computer Systems Analyst IV,Manufacturing,True,65.0,16.0,7.0,2,35.0
4926,1641,9,2217,4326.200000000001,51.0,Male,Mass Customer,VIC,Community Outreach Specialist,Financial Services,False,29.0,14.0,4.0,3,3.0
4935,54,7,2221,4098.21,57.0,Female,Mass Customer,NSW,Sales Associate,Property,True,2.0,18.0,8.0,2,40.0
4942,2261,4,2189,1465.1599999999999,43.0,Male,Mass Customer,VIC,Account Representative II,Health,True,81.0,13.0,11.0,1,33.0
4946,2881,6,2226,3646.67,61.0,Male,Affluent Customer,NSW,Associate Professor,Health,True,71.0,11.0,11.0,2,26.0
4952,1969,6,2171,2623.56,62.0,Male,Mass Customer,VIC,Teacher,IT,True,54.0,19.0,8.0,2,0.0
4958,677,5,2225,940.36,26.0,Male,Mass Customer,NSW,Senior Cost Accountant,Financial Services,False,59.0,5.0,10.0,1,1.0
4963,1533,8,2258,3968.52,46.0,Female,Affluent Customer,NSW,Social Worker,Health,True,59.0,8.0,10.0,2,0.0
4971,226,2,2270,1173.8600000000001,46.0,Male,Mass Customer,NSW,Database Administrator IV,Manufacturing,False,96.0,20.0,7.0,0,32.0
4973,3216,4,2154,1236.19,25.0,Male,Mass Customer,QLD,Database Administrator III,Manufacturing,True,59.0,1.0,7.0,1,32.0
4977,3254,6,2185,1592.0499999999997,22.0,Female,Mass Customer,QLD,Human Resources Assistant I,Financial Services,False,8.0,1.0,6.0,1,25.0
4983,3373,5,2198,4048.46,32.0,Female,Mass Customer,NSW,Research Associate,Health,False,19.0,5.0,10.0,2,40.0
4988,918,5,2170,4066.2400000000002,48.0,Male,High Net Worth,VIC,Internal Auditor,Health,False,73.0,13.0,4.0,2,0.0
4993,406,5,2260,3445.0099999999998,36.0,Female,High Net Worth,NSW,Financial Analyst,Financial Services,False,58.0,12.0,1.0,2,13.0
4998,2223,7,2208,3538.4199999999996,42.0,Female,Mass Customer,VIC,Professor,Health,False,38.0,12.0,5.0,2,26.0
5005,1196,6,2172,1455.3799999999999,25.0,Female,Mass Customer,NSW,Research Nurse,Health,False,23.0,2.0,10.0,1,10.0
5011,1576,7,2191,4521.35,38.0,Male,Mass Customer,NSW,VP Marketing,Financial Services,False,77.0,20.0,9.0,2,12.0
5018,1872,5,2293,2516.5,50.0,Male,Mass Customer,NSW,Help Desk Technician,Manufacturing,True,75.0,14.0,6.0,0,15.0
5023,3251,11,2161,6264.88,47.0,Female,High Net Worth,NSW,Safety Technician II,Financial Services,True,95.0,8.0,10.0,3,31.0
5034,853,9,2218,7263.66,42.0,Female,Mass Customer,NSW,Media Manager I,Retail,True,26.0,16.0,2.0,3,38.0
5043,3289,5,2223,3476.2299999999996,45.0,Male,Mass Customer,NSW,Assistant Manager,Property,False,43.0,12.0,12.0,2,8.0
5048,613,6,2157,2098.59,34.0,Female,High Net Worth,NSW,Analyst Programmer,Property,False,4.0,17.0,9.0,2,24.0
5054,1771,6,2193,2670.1499999999996,49.0,Female,Mass Customer,QLD,Geological Engineer,Manufacturing,True,1.0,14.0,5.0,2,2.0
5060,1793,6,2214,4960.360000000001,34.0,Male,Mass Customer,VIC,Actuary,Financial Services,True,19.0,2.0,7.0,2,0.0
5066,1403,2,2318,685.4300000000001,42.0,Female,Mass Customer,VIC,Geologist II,Retail,False,18.0,16.0,7.0,0,21.0
5068,347,7,2213,8326.369999999999,58.0,Male,Mass Customer,NSW,Marketing Manager,Financial Services,False,50.0,9.0,9.0,3,12.0
5075,3352,6,2191,2788.69,28.0,Male,Affluent Customer,VIC,Human Resources Assistant IV,Manufacturing,False,14.0,1.0,5.0,2,25.0
5081,566,3,2206,2145.56,44.0,Female,High Net Worth,NSW,Systems Administrator I,Financial Services,True,66.0,9.0,12.0,1,20.0
5084,137,5,2181,1496.4499999999998,36.0,Male,High Net Worth,NSW,Office Assistant II,Property,False,27.0,10.0,10.0,1,23.0
5089,3128,5,2258,3687.54,58.0,Female,High Net Worth,VIC,Geological Engineer,Manufacturing,True,96.0,16.0,1.0,2,2.0
5094,957,5,2192,2632.09,29.0,Female,Affluent Customer,VIC,Automation Specialist I,Manufacturing,True,80.0,7.0,10.0,1,36.0
5099,114,4,2224,2195.26,38.0,Female,Affluent Customer,NSW,Teacher,Entertainment,False,10.0,8.0,9.0,1,0.0
5103,1814,6,2205,2459.73,35.0,Female,Affluent Customer,NSW,Web Designer IV,Retail,False,33.0,17.0,5.0,2,11.0
5109,486,5,2245,4915.7699999999995,67.0,Female,Affluent Customer,VIC,Technical Writer,Manufacturing,True,0.0,15.0,7.0,2,0.0
5114,3474,5,2225,2358.99,44.0,Male,Mass Customer,QLD,Assistant Manager,Manufacturing,False,93.0,14.0,1.0,1,8.0
